# Data1   	  Data2    	  Data3    	  Data4 
 2229.31 	  1914.24 	  2026.96 	   186.19 	
 2170.04 	  2089.11 	  2052.21 	  1246.70 	
 2557.43 	  2653.39 	  2311.20 	 19125.62 	
 2759.92 	  1479.94 	  2347.64 	   192.17 	
 1262.45 	  1515.81 	  3650.84 	   340.81 	
 2366.43 	  1568.49 	  1241.19 	  1329.10 	
 2302.82 	  3370.10 	  2510.32 	   756.28 	
 2423.86 	  3145.11 	  2948.54 	  1181.77 	
 1905.51 	  3202.05 	  4726.08 	  3653.70 	
 2461.72 	  2281.92 	  1417.29 	  4547.51 	
 2555.23 	  1816.83 	  1315.52 	  1645.12 	
 2122.57 	  2668.35 	  3347.10 	  4226.58 	
 4151.31 	  1874.06 	  2066.05 	  2798.37 	
 2084.21 	  4418.92 	  3153.87 	  1937.97 	
  509.73 	  1758.18 	  2582.06 	  3110.23 	
 2746.07 	  2029.47 	  2198.02 	  4389.30 	
 1583.95 	  3413.33 	  4021.24 	   732.17 	
 3028.74 	  2656.31 	  1549.43 	   429.93 	
  376.75 	  1506.75 	  1875.45 	   923.82 	
 2161.79 	  1846.09 	  2933.91 	  4536.37 	
 1951.19 	  2277.22 	  2798.64 	  4160.14 	
 1638.54 	  1886.22 	  3969.48 	  4077.59 	
 2206.86 	  2005.02 	  2815.58 	   511.31 	
 1476.42 	  1799.49 	  2338.34 	  4075.30 	
 2221.87 	  1413.71 	  2722.88 	  5622.76 	
 3324.20 	  1648.99 	  2796.77 	  2804.83 	
 2809.30 	  1351.53 	  2764.51 	   409.83 	
  935.81 	  2585.65 	  4293.40 	  2998.03 	
 4064.57 	  2142.03 	  3209.33 	  1573.24 	
 1696.09 	  2580.46 	  2289.86 	   605.66 	
 4123.61 	  2977.40 	  1859.86 	  3193.69 	
 3079.80 	  5011.75 	  3823.83 	   667.96 	
 3125.15 	  3521.89 	  2467.25 	  3032.51 	
 2416.34 	  2726.01 	  1818.05 	  3121.27 	
 2783.68 	  1664.80 	  2048.05 	  2261.32 	
 3127.76 	  3192.91 	  1808.76 	  1643.29 	
 2376.54 	  2907.64 	  1137.72 	  3182.99 	
 1813.13 	  1441.52 	  2072.83 	  4314.34 	
  942.75 	  2437.40 	  3145.33 	  3781.57 	
 3186.57 	  1808.77 	  1605.20 	   249.26 	
 2328.24 	  2840.26 	  1544.28 	  6410.25 	
 1926.20 	  2230.45 	  1779.56 	  1418.36 	
 2017.67 	  1323.82 	  1214.80 	  9606.97 	
 1576.05 	  3363.25 	  1547.61 	   445.54 	
 2147.91 	  1369.22 	  2948.87 	  3561.00 	
 3544.53 	  2070.29 	  1200.52 	   219.00 	
  416.61 	  5922.71 	  3451.91 	  2063.06 	
 1929.66 	  1895.04 	  1900.80 	 10951.49 	
 1257.95 	  1796.38 	  1953.62 	  2567.37 	
 1494.04 	  2356.67 	  4513.43 	  4546.32 	
 1003.99 	  3139.63 	  2071.24 	   909.45 	
 1291.25 	  1570.78 	  2532.62 	   264.02 	
 2674.55 	  2666.38 	  1976.23 	  2211.79 	
 1647.85 	  1629.79 	  2893.93 	   126.90 	
  995.98 	  2136.58 	  1887.95 	   204.20 	
 2800.61 	  2664.66 	  3111.17 	  4306.89 	
 2881.41 	  1373.60 	   917.04 	  3765.53 	
 2524.28 	  4049.96 	  4109.00 	  1649.54 	
 2261.22 	  1785.04 	  1888.37 	  2403.95 	
 2819.09 	  3090.44 	  3395.40 	   481.87 	
 2660.31 	  1895.28 	  1085.63 	  5134.44 	
 1833.82 	  2967.98 	  2345.69 	   236.73 	
 1639.37 	  3483.05 	  2582.63 	  2346.66 	
 2192.31 	  1825.40 	  2801.76 	  4341.27 	
 2939.35 	  1694.73 	   905.31 	  5309.96 	
 2830.19 	  1106.07 	  2349.22 	  1550.84 	
 1882.07 	  2243.40 	  1522.97 	  1122.02 	
 3153.29 	  3567.05 	  1472.38 	  5184.01 	
 2816.73 	  3393.01 	  1817.97 	   605.44 	
 3490.21 	  4701.60 	  2427.34 	  2539.89 	
 2956.83 	  3124.73 	  3028.67 	   719.66 	
 3045.67 	  5684.63 	  2581.47 	   835.58 	
 2702.45 	  3142.58 	  2353.49 	   636.46 	
 3952.23 	  1970.41 	  3093.22 	  1708.70 	
 3883.11 	  3899.24 	  4450.25 	   649.79 	
 3473.69 	  1919.98 	  3255.87 	  6729.08 	
 4108.19 	  2400.39 	  3091.91 	  4757.56 	
 3227.04 	  3039.87 	  2448.76 	   370.03 	
 3162.92 	  2212.61 	  2703.77 	  5715.35 	
 3349.19 	  3046.49 	  3901.72 	  1797.85 	
 1943.49 	  2553.42 	  2452.45 	  2731.88 	
 2630.67 	  1602.65 	  1325.76 	  1430.24 	
 2098.68 	  2382.59 	  3751.28 	  1501.17 	
 3056.99 	  2971.34 	  2502.69 	    76.21 	
 2819.08 	  2004.13 	  4030.14 	   716.41 	
 2619.92 	  2421.04 	  2430.80 	   527.36 	
 4084.43 	  3281.99 	  1165.76 	     9.36 	
 3088.69 	  1682.28 	  5461.64 	  5572.50 	
 2039.45 	  1611.42 	  1840.88 	  2388.15 	
 2883.76 	  1428.03 	  1921.89 	  1115.87 	
 3470.23 	  3116.25 	  3486.76 	  5858.71 	
 2779.87 	  2302.17 	  3551.31 	   237.47 	
 3450.56 	  4171.37 	   946.19 	   375.16 	
 3752.17 	  5931.63 	  1728.88 	  6030.08 	
 2373.50 	  3242.99 	  2393.33 	   655.65 	
 1902.86 	  1567.94 	  1715.62 	  1401.18 	
 2123.72 	  1271.98 	  1703.44 	 10993.93 	
 2547.79 	  2135.29 	  2600.43 	  5176.40 	
 1843.24 	   765.02 	  4111.18 	   556.87 	
 2212.51 	  2103.30 	  3812.05 	  3160.73 	
